Item Name,Market Price,Market Craft Price,Profit (Flat),Profit Ratio,Total Crafting Time,Profit Per Hour
<Item.Item object at 0x000001B35ED276A0>,12700,6760.0,3971.5,0.5875,2.4,5957250.0
<Item.Item object at 0x000001B35ED275C0>,525,525.0,-81.375,-0.155,0.0,0.0
<Item.Item object at 0x000001B35ED27898>,2210,1300.0,567.45,0.43650000000000005,2.4,851175.0000000001
<Item.Item object at 0x000001B35ED27940>,13700,8840.0,2736.5,0.3095588235294118,2.4,4104750.0000000005
<Item.Item object at 0x000001B35ED27908>,4930,4930.0,-764.1500000000005,-0.1550000000000001,0.0,0.0
<Item.Item object at 0x000001B35ED279B0>,650,650.0,-100.75,-0.155,0.0,0.0
<Item.Item object at 0x000001B35ED27A90>,2890,2890.0,-447.9500000000003,-0.15500000000000008,0.0,0.0
<Item.Item object at 0x000001B35ED277F0>,85000,30212.0,41613.0,1.3773666092943202,2.4,62419500.0
<Item.Item object at 0x000001B35ED27AC8>,1870,1870.0,-289.85000000000014,-0.15500000000000008,0.0,0.0
<Item.Item object at 0x000001B35ED27B00>,2140,1580.0,228.29999999999995,0.14449367088607593,2.4,342449.99999999994
<Item.Item object at 0x000001B35ED27B38>,123000,86880.0,17055.0,0.19630524861878454,2.4,25582500.0
<Item.Item object at 0x000001B35ED27BE0>,140000,87000.0,31300.0,0.35977011494252875,2.4,46950000.00000001
<Item.Item object at 0x000001B35ED27C50>,3660,2753.6,339.0999999999999,0.12314787914003483,2.4,508649.9999999999
<Item.Item object at 0x000001B35ED278D0>,79000,87180.0,-20425.0,-0.23428538655654968,2.4,-30637500.000000004
<Item.Item object at 0x000001B35ED27A58>,97500,95280.0,-12892.5,-0.1353117128463476,2.4,-19338750.0
<Item.Item object at 0x000001B35ED27E80>,2920,1800.0,667.4000000000001,0.3707777777777778,2.4,1001100.0000000001
<Item.Item object at 0x000001B35ED279E8>,54500,230000.0,-183947.5,-0.7997717391304348,2.4,-275921250.0
<Item.Item object at 0x000001B35ED27F60>,40000,40000.0,-6200.0,-0.155,0.0,0.0
<Item.Item object at 0x000001B35ED27FD0>,1560,1560.0,-241.79999999999995,-0.15499999999999997,0.0,0.0
<Item.Item object at 0x000001B35ED27CC0>,3770,3770.0,-584.3499999999999,-0.15499999999999997,0.0,0.0
<Item.Item object at 0x000001B35ED27E10>,20,20.0,-3.1000000000000014,-0.15500000000000008,0.0,0.0
<Item.Item object at 0x000001B35ED27EF0>,6000000,1939400.0,3130600.0,1.6142105805919356,90000.0,125224.0
<Item.Item object at 0x000001B35ED27DD8>,224,224.0,-34.72,-0.155,0.0,0.0
<Item.Item object at 0x000001B35ED2D160>,2250,2250.0,-348.75,-0.155,0.0,0.0
<Item.Item object at 0x000001B35ED27EB8>,8000,6940.0,-180.0,-0.025936599423631124,2.4,-270000.0
<Item.Item object at 0x000001B35ED27F98>,307000,186860.0,72555.0,0.38828534731884834,2.4,108832500.0
<Item.Item object at 0x000001B35ED2D208>,213000,240460.0,-60475.0,-0.25149713049987527,2.4,-90712500.0
<Item.Item object at 0x000001B35ED2D320>,265000,78860.0,145065.0,1.8395257418209485,2.4,217597500.0
<Item.Item object at 0x000001B35ED2D390>,224000,126460.0,62820.0,0.49675786810058514,2.4,94230000.0
<Item.Item object at 0x000001B35ED2D438>,215000,175200.0,6475.0,0.036957762557077625,2.4,9712500.000000002
<Item.Item object at 0x000001B35ED2D4E0>,239000,139000.0,62955.0,0.4529136690647482,2.4,94432500.0
<Item.Item object at 0x000001B35ED2D588>,230000,150800.0,43550.0,0.28879310344827586,2.4,65325000.00000001
<Item.Item object at 0x000001B35ED2D358>,94000,152800.0,-73370.0,-0.4801701570680628,2.4,-110055000.00000001
<Item.Item object at 0x000001B35ED2D400>,312000,157200.0,106440.0,0.6770992366412214,2.4,159660000.0
<Item.Item object at 0x000001B35ED2D4A8>,85500,165600.0,-93352.5,-0.5637228260869566,2.4,-140028750.0
<Item.Item object at 0x000001B35ED2D550>,278000,159200.0,75710.0,0.4755653266331658,2.4,113565000.00000001
<Item.Item object at 0x000001B35ED2D7F0>,247000,151200.0,57515.0,0.38039021164021164,2.4,86272500.00000001
<Item.Item object at 0x000001B35ED2D668>,172000,156400.0,-11060.0,-0.07071611253196931,2.4,-16590000.000000002
<Item.Item object at 0x000001B35ED2D8D0>,225000,152800.0,37325.0,0.2442735602094241,2.4,55987500.0
<Item.Item object at 0x000001B35ED2D748>,192000,156800.0,5440.0,0.03469387755102041,2.4,8160000.000000001
<Item.Item object at 0x000001B35ED2D9B0>,324000,160800.0,112980.0,0.7026119402985075,2.4,169470000.0
<Item.Item object at 0x000001B35ED2D828>,20,20.0,-3.1000000000000014,-0.15500000000000008,0.0,0.0
<Item.Item object at 0x000001B35ED2DAC8>,199,199.0,-30.845,-0.155,0.0,0.0
<Item.Item object at 0x000001B35ED2DB38>,1810,850.0,679.45,0.7993529411764706,2.4,1019175.0000000001
<Item.Item object at 0x000001B35ED2DBA8>,14700,7240.0,5181.5,0.7156767955801105,2.4,7772250.000000001
<Item.Item object at 0x000001B35ED2D908>,425,425.0,-65.875,-0.155,0.0,0.0
<Item.Item object at 0x000001B35ED2DC18>,8650,14200.0,-6890.75,-0.4852640845070422,2.4,-10336125.0
<Item.Item object at 0x000001B35ED2DD30>,1030,1030.0,-159.64999999999998,-0.15499999999999997,0.0,0.0
<Item.Item object at 0x000001B35ED2DB70>,2670,2670.0,-413.8499999999999,-0.15499999999999997,0.0,0.0
<Item.Item object at 0x000001B35ED2DD68>,27100,27100.0,-4200.5,-0.155,0.0,0.0
<Item.Item object at 0x000001B35ED2DC50>,64500,64500.0,-9997.5,-0.155,0.0,0.0
<Item.Item object at 0x000001B35ED2D978>,15800,15800.0,-2449.0,-0.155,0.0,0.0
<Item.Item object at 0x000001B35ED2DDA0>,15400,15400.0,-2387.0,-0.155,0.0,0.0
<Item.Item object at 0x000001B35ED2DCF8>,25200,30200.0,-8906.0,-0.2949006622516556,2.4,-13359000.0
<Item.Item object at 0x000001B35ED2DDD8>,2030,2030.0,-314.6500000000001,-0.15500000000000005,0.0,0.0
<Item.Item object at 0x000001B35ED2DEB8>,3720,3720.0,-576.5999999999999,-0.15499999999999997,0.0,0.0
<Item.Item object at 0x000001B35ED2DF60>,1590000,2004504.0,-660954.0,-0.3297344380455215,2.4,-991431000.0
<Item.Item object at 0x000001B35ED2DE48>,381000,1985632.0,-1663687.0,-0.8378627056775878,2.4,-2495530500.0000005
<Item.Item object at 0x000001B35ED2DE80>,2860,1840.0,576.6999999999998,0.31342391304347816,2.4,865049.9999999998
<Item.Item object at 0x000001B35ED2DCC0>,13700,11440.0,136.5,0.011931818181818182,2.4,204750.0
<Item.Item object at 0x000001B35ED2DA90>,920,920.0,-142.60000000000002,-0.15500000000000003,0.0,0.0
<Item.Item object at 0x000001B35ED2DF28>,3130,3130.0,-485.1500000000001,-0.15500000000000003,0.0,0.0
<Item.Item object at 0x000001B35ED33278>,8500,8500.0,-1317.5,-0.155,0.0,0.0
<Item.Item object at 0x000001B35ED331D0>,8150,8150.0,-1263.25,-0.155,0.0,0.0
<Item.Item object at 0x000001B35ED332B0>,7750,7750.0,-1201.25,-0.155,0.0,0.0
<Item.Item object at 0x000001B35ED332E8>,15400,16760.0,-3747.0,-0.22356801909307875,2.4,-5620500.0
<Item.Item object at 0x000001B35ED33160>,1330,1330.0,-206.1500000000001,-0.15500000000000008,0.0,0.0
