Item Name,Course of Action,Market Price,Cheapest Buy/Craft Price,Profit (Flat),Profit Ratio,Total Crafting Time,Profit Per Hour,Last Updated
Sturdy Birch Plywood,Craft,310000,139102.50569476082,122847.49430523918,0.8831436478564176,16.920273348519363,26137342.487883683,2020-02-26 10:13:19.198330
Sturdy Cedar Plywood,Market Buy,89500,89500.0,-13872.5,-0.155,0.0,0.0,2020-02-26 10:13:19.842591
Sturdy Elder Tree Plywood,Craft,436000,304800.0,63620.0,0.2087270341207349,2.4,95430000.00000001,2020-02-26 10:13:20.556689
Sturdy Fir Plywood,Market Buy,82000,82000.0,-12710.0,-0.155,0.0,0.0,2020-02-26 10:13:21.222901
Sturdy Loopy Tree Plywood,Craft,406000,170702.50569476082,172367.49430523918,1.009753744408741,7.320273348519362,84767733.38312173,2020-02-26 10:13:21.853216
Sturdy Maple Plywood,Craft,342000,146142.50569476082,142847.49430523918,0.9774534357827165,55.320273348519365,9295886.451230358,2020-02-26 10:13:22.521430
Sturdy Moss Tree Plywood,Craft,235000,135262.50569476082,63312.494305239175,0.4680712809513737,16.920273348519363,13470525.848142164,2020-02-26 10:13:23.188646
Sturdy Palm Plywood,Craft,414000,300400.0,49430.0,0.16454727030625832,2.4,74145000.00000001,2020-02-26 10:13:23.893782
Sturdy Pine Plywood,Craft,420000,294800.0,60100.0,0.20386702849389415,2.4,90150000.0,2020-02-26 10:13:24.594888
Sturdy Thuja Plywood,Craft,493000,308400.0,108185.0,0.35079442282749673,2.4,162277500.0,2020-02-26 10:13:25.985170
Sugar,Market Buy,20,20.0,-3.1000000000000014,-0.15500000000000008,0.0,0.0,2019-07-31 22:58:07.569305
Sunrise Herb,Market Buy,189,189.0,-29.295000000000016,-0.15500000000000008,0.0,0.0,2020-02-26 10:09:36.053942
Thuja Plank,Craft,1810,870.0,659.45,0.7579885057471265,2.4,989175.0000000001,2020-02-26 10:13:27.342543
Thuja Plywood,Craft,14700,7240.0,5181.5,0.7156767955801105,2.4,7772250.000000001,2020-02-26 10:13:25.327932
Thuja Timber,Market Buy,435,435.0,-67.42500000000001,-0.15500000000000003,0.0,0.0,2020-02-26 10:13:26.696269
Tin Ingot,Market Buy,8500,8500.0,-1317.5,-0.155,0.0,0.0,2020-02-26 10:10:51.853563
Tin Ore,Market Buy,1340,1340.0,-207.70000000000005,-0.15500000000000003,0.0,0.0,2020-02-26 10:10:16.626610
Titanium Ore,Market Buy,3120,3120.0,-483.5999999999999,-0.15499999999999997,0.0,0.0,2020-02-26 10:13:27.986822
Trace of Forest,Market Buy,27100,27100.0,-4200.5,-0.155,0.0,0.0,2019-08-01 00:32:59.540211
Trace of Origin,Market Buy,62000,62000.0,-9610.0,-0.155,0.0,0.0,2019-08-05 00:19:12.781139
Trace of Savagery,Market Buy,33700,33700.0,-5223.5,-0.155,0.0,0.0,2019-09-07 18:18:45.851049
Trace of the Earth,Market Buy,39800,39800.0,-6169.0,-0.155,0.0,0.0,2019-09-07 20:26:46.753093
Vanadium Ore,Market Buy,3290,3290.0,-509.9500000000003,-0.15500000000000008,0.0,0.0,2020-02-26 10:13:29.841859
Weeds,Market Buy,600,600.0,-93.0,-0.155,0.0,0.0,2020-02-26 10:09:37.427263
Whale Tendon Elixir,Market Buy,287000,287000.0,-44485.0,-0.155,0.0,0.0,2020-02-26 10:13:30.466191
Whale Tendon Potion,Market Buy,247000,247000.0,-38285.0,-0.155,0.0,0.0,2020-02-26 10:13:31.157346
Wheat,Market Buy,920,920.0,-142.60000000000002,-0.15500000000000003,0.0,0.0,2019-09-07 19:56:21.254525
Wheat Flour,Craft,1280,368.0,713.5999999999999,1.9391304347826084,2.4,1070400.0,2020-02-26 10:10:14.902611
White Cedar Plank,Craft,2350,1530.0,455.75,0.29787581699346405,2.4,683625.0,2020-02-26 10:13:32.440912
White Cedar Plywood,Craft,13500,9400.0,2007.5,0.21356382978723404,2.4,3011250.0,2020-02-26 10:13:33.097162
White Cedar Timber,Market Buy,765,765.0,-118.57500000000005,-0.15500000000000005,0.0,0.0,2020-02-26 10:13:31.796634
Wild Grass,Market Buy,945,945.0,-146.47500000000002,-0.15500000000000003,0.0,0.0,2020-02-26 10:13:33.705537
Wolf Blood,Market Buy,1490,1490.0,-230.95000000000005,-0.15500000000000003,0.0,0.0,2020-02-26 10:09:38.135367
Worm Hide,Market Buy,4150,4150.0,-643.25,-0.155,0.0,0.0,2020-02-26 10:09:57.548979
Yak Hide,Market Buy,5200,5200.0,-806.0,-0.155,0.0,0.0,2020-02-26 10:13:34.352806
Zinc Ingot,Craft,31900,21840.0,5115.5,0.23422619047619048,12.0,1534650.0,2020-02-26 10:10:53.598876
Zinc Ore,Market Buy,2730,2730.0,-423.1500000000001,-0.15500000000000003,0.0,0.0,2020-02-26 10:10:17.656858
